ANALYSIS_ID,Cer 18:1;O2/16:0,Cer 18:1;O2/18:0,Cer 18:1;O2/24:0,Cer 18:1;O2/24:1,Cer 18:1;O2/16:0[d7],Cer 18:1;O2/18:0[d7],Cer 18:1;O2/24:0[d7],Cer 18:1;O2/24:1[d7]
STD-A 1-1,403305.61902178,214041.67915233,2674176.28130706,2132161.98568381,18455.09552755,7238.04864099,168923.84644182,45528.90832036
STD-A 2-1,205300.33252374,101948.67724045,1287983.59022998,1006165.21427943,19127.07110197,7005.75808154,159638.11761629,42881.77108381
STD-A 3-1,23063.74717070,11246.69095226,144493.32742741,110119.85872507,23488.87311994,8192.95501323,190850.60192167,51397.10938721
STD-A 4-1,5196.61704388,2000.91661687,25390.39224082,18340.05889556,22534.65233830,7390.14714408,181469.65561857,47978.94776882
STD-A 5-1,2932.04537893,1108.90108054,15401.16021673,9024.73754198,21693.44751430,7289.21341626,170160.21735865,45579.16053268
STD-A 6-1,4271.82517972,896.14259920,10533.11257699,7178.20065188,38290.05930549,8189.45937233,192318.42896899,53302.30458864
STD-A 1-2,446812.88531799,247854.73806916,3091593.87602441,2544469.90491911,19733.03666938,8534.04586233,195125.44337688,54081.65945891
STD-A 2-2,211459.46024126,108497.94782098,1340789.11505859,1053594.33909731,18895.55739017,7334.48775957,166951.00920630,45126.69166341
STD-A 3-2,23757.32294233,10668.39995869,134001.12849877,107854.79352434,21928.07535746,7676.18064495,177015.34959990,49670.91854119
STD-A 4-2,5679.81732083,2286.54088986,27873.78099565,21035.65732565,23757.87881156,8901.51841225,199057.21203595,56188.04761178
STD-A 5-2,3153.18211957,1312.35834060,12462.11210026,8601.66606966,21290.92860043,7001.81998970,169251.75309944,45889.28293147
STD-A 6-2,3781.12861049,868.17494827,10780.57816243,6587.36283384,34357.36828218,7370.85205772,168228.17424711,47726.10710416
STD-A 1-3,466726.99067983,269660.21060042,3043646.61029704,2611729.46994685,20778.37088757,9143.35160533,193072.52127413,56707.52005267
STD-A 2-3,227469.16812870,122978.79922913,1474603.33077466,1212984.15200592,20500.18803708,8256.96470949,183869.16202455,52636.36838684
STD-A 3-3,25280.09411734,11660.34593707,137840.37232835,115599.25535345,23203.61087632,8501.52867462,184172.36828559,53612.69672359
STD-A 4-3,5729.40141351,2114.65153862,25533.64178141,19735.35896149,24424.69531288,8643.81449043,186490.39215086,53813.19337461
STD-A 5-3,3403.56614165,1384.35303381,16556.57861832,10992.73474390,24402.10631993,8579.72188817,198735.97938607,56435.83038666
STD-A 6-3,4888.60422494,1031.86935027,10893.83830051,7455.48888574,46066.44413542,9280.68103628,196996.19553419,56880.72764428
STD-B 1-1,616551.77603938,213241.22416019,2696814.98464819,2096718.44634813,31177.90622431,7323.01790100,168497.36382336,46329.31792545
STD-B 2-1,216368.59399637,114595.40349071,1350243.04080186,1105218.65902816,19514.12029607,7574.91961301,165998.17746635,46939.99648693
STD-B 3-1,22582.59378077,10121.28898523,125079.00859036,98550.98429095,20423.49626396,7407.59694734,168074.02649473,46177.86098995
STD-B 4-1,5182.17934926,1925.63019194,24185.52926485,16385.62089460,21965.10990823,7450.12821003,164333.28836092,46316.78394879
STD-B 5-1,3048.36885173,1119.07360731,15633.38326345,8862.14612514,22109.82632767,7799.64073622,179590.73758358,49544.49412055
STD-B 6-1,2563.18343886,863.37307055,11842.80972151,6725.97163861,21622.22230843,7727.02310527,170029.84505492,47726.48886775
STD-B 1-2,591118.23256215,216131.83204949,2883309.69775856,2198021.71475168,30524.08784593,7771.15515136,180172.92876112,48456.17792580
STD-B 2-2,223262.37807810,115607.47270831,1393077.67985707,1094320.56710182,19981.34530248,7689.89511032,170122.30120798,46505.22220747
STD-B 3-2,24440.44886813,11993.95805639,147300.50744148,114375.82537217,22985.19576619,8633.95664827,192089.04216846,54247.70454870
STD-B 4-2,5552.37042716,2215.50931072,29094.47967892,19921.74177393,23845.97861593,9171.03068303,202375.50706809,56457.85958763
STD-B 5-2,3550.59140101,1554.71723664,17856.49769516,10339.86739237,25609.75660666,9700.79544722,212680.70549749,58802.50771986
STD-B 6-2,2928.38332166,1157.52677653,12733.58862895,7162.47526336,22543.98936992,7983.18609489,189031.47827700,50438.75465305
STD-B 1-3,660579.59698836,289033.54347819,3420332.59429862,2807652.79900807,33986.19131207,10003.82679899,217215.61364807,62295.86350347
STD-B 2-3,225931.64216573,127592.17382368,1460591.96620169,1221463.00383555,20198.53515380,8912.70065157,178488.01986914,52160.84050418
STD-B 3-3,24152.35360048,12936.35894049,148508.06465187,120368.61369488,24294.92673270,9533.11580425,199246.83428682,57923.66870164
STD-B 4-3,6269.37189801,2675.72675023,31357.14424469,22601.10858749,25756.77311682,10108.38656248,214381.23324085,61750.51593824
STD-B 5-3,3542.22928779,1350.77503302,15461.19408364,10504.53876002,24288.88205885,9823.44486188,199985.01511924,58633.97052854
STD-B 6-3,3249.44349425,1092.38400439,12826.22205994,9011.85814298,25289.80644380,9954.09113398,218364.26856417,62725.74826486
SRM 1-1,9279.17857565,3648.34606506,145509.51210489,37644.53245698,8562.83939515,8081.00108512,184513.34223877,50506.48480863
SRM 2-1,9529.66620256,3627.87006777,149712.20826421,36744.75782672,8299.18668477,7809.53411226,183997.11167466,50662.45927651
SRM 3-1,12502.97123943,4356.12905851,171241.74916606,46282.81318981,8352.65727190,8421.75153396,191863.75387395,53351.16456163
SRM 4-1,11266.47107029,3922.58898695,142011.22143509,39315.57356216,7504.09295169,6946.31891666,165576.46968736,45930.76746125
SRM 5-1,11727.73195327,3792.07011189,149684.31424340,40783.60793600,8283.23063135,7891.91913780,185390.30766245,49760.89896620
SRM 6-1,12204.44687931,4467.36510043,164445.67661659,46670.03778518,8371.93983319,8180.05754378,190132.45732559,52124.55304465
SRM 1-2,11481.43313645,4405.60448754,157845.58712054,44149.55806765,9030.80730727,8661.05668298,201376.57166672,55146.32203159
SRM 2-2,12534.35424291,4419.36138559,146146.87231820,44523.70585431,9388.79004733,8691.33535236,182867.01309203,53766.02320750
SRM 3-2,11770.12978675,4202.37276524,160933.13829881,43891.28612749,7996.27444733,7654.35417728,183029.30923741,49839.94418279
