analysis_id,qc_type,CE 18:1,CE 18:1 d7 (ISTD),Cer d18:1/16:0,Cer d18:1/24:0,Cer d18:1/25:0 (ISTD),LPC 18:1 (a),LPC 18:1 (ab) d7 (ISTD),LPC 18:1 (b),PC 28:0|SM 32:1 M+3,PC 32:1,PC 33:1 d7 (ISTD),PC 40:6,PC 40:8,PE 33:1 d7 (ISTD),PE 34:1,PE P-16:0/18:1 [-FA-HG],PE P-16:0/18:1 [-FA],PI 33:1 d7 (ISTD),PI 34:1,SM 32:1,SM 34:1,SM 36:2 d9 (ISTD),TG 48:1 [-18:1],TG 48:1 [SIM],TG 48:1 d7 (ISTD) [-15:0],TG 48:1 d7 (ISTD) [SIM],TG 48:2 [-16:0],TG 48:2 [-18:1],TG 48:2 [SIM]
Longit_batch1_PQC 01,BQC,1486214.4,324582.03,77928.836,2020369.9,2081217.9,1416963.8,5349148.5,5669262.5,126330.336,2271303,4283078.5,4014293.5,305439.84,39966.348,170068.06,28454.332,40041.473,35819.766,93595.35,4416494,49293816,558817.25,2605853.5,8933722,1319445.6,1577149.1,2029894,1770872.4,8112019.5
Longit_batch1_PQC 02,BQC,1569265,338513.28,75637.51,1984064.3,2480404.5,1702310.1,5329761,5475779,117033.01,2826087.5,3660951,4119683,242810.72,38404.9,200865.13,31798.578,51769.72,33582.332,119471.34,4002813.3,44616348,581419.3,2460761.3,9254113,1520474,1600784.1,2084270.1,1708180.5,8546843
Longit_batch1_1,SPL,1573621.1,530348.4,49672.75,1107074.1,2653277,988266.2,5186866.5,3621309.5,40132.188,2155529,4553114.5,3936833,145023.02,41999.03,127769.83,17798.963,20762.572,36534.414,55985.363,2522533.3,41761310,629860.5,429778.2,1780882.5,2214716,2851398.5,360010.03,360340.56,1524665.5
Longit_batch1_2,SPL,1308533.6,410064.66,74766.445,1640502.8,2608967.5,1140271.8,5315330,3631758,53429.016,1964735.1,4111848.3,2533323.3,167260.8,37087.863,129445.83,23026.848,24793.064,41733.715,65027.703,2127864.5,34176040,666595.6,2343340,7950795,1441621.3,1728052.9,1873111.5,1082396.9,6348033.5
Longit_batch1_3,SPL,1362724.6,277761.75,67908.58,1609288.6,2776654.3,1009904.44,5171530.5,3443979.5,145146.72,2242118.3,4146759,3077784,228007.5,41786.063,267353.03,33126.777,37138.105,37823.668,173453.5,4126316.3,40877316,616984.7,4618211,18501808,1042791.2,1209758.5,3898490.8,3344266.3,16506369
Longit_batch1_4,SPL,1449121.3,441373.8,49407.64,1612582.1,2815603,1218738,5440278.5,4627343,72253.984,2192041.3,4291139,4311029,281066.8,52043.95,96629.7,31740.395,30987.162,33826.35,91508.664,4403027,43677764,519119.13,748533.8,2749448.8,2039641.9,2717169.8,586698,454897.2,2188397.5
Longit_batch1_5,SPL,1387773.4,307628.44,60770.414,2174136.8,2867586.3,2403009.8,5258220,12390146,228458.63,1902032.8,3754083.8,5256175.5,296444.38,50698.547,306664.53,35109.45,55034.71,35753.516,130067.73,2928958.3,37455704,562411.94,5879945.5,20019120,1101171,1419648.1,5630539,3849893,18739486
Longit_batch1_6,SPL,1563150,407863.25,78317.42,1696333.5,2515805,1256650.1,4980383.5,5208904,93427.28,2716682.8,3525319.8,4160986,307558.94,53262.07,149224.89,37136.844,41785.043,38039.973,82531.09,4585247.5,48819790,544765.4,837684.2,2515767.3,1982113.4,2315911.3,614119,1141325.3,3524850
Longit_batch1_7,SPL,1127506,322124.5,73988.8,1869770.3,2357187.5,912169.25,5143323,3042124.5,70300.4,2250165.5,4354927.5,2423499.5,152751.56,50143.664,196166.13,34268.883,28270.71,37821.574,73758.54,2916091.5,35445210,621743.94,2004490.3,7636546.5,1569098.3,1856128,1560517.3,1483822.1,7440223.5
Longit_batch1_8,SPL,1543076.3,331950.47,74312.45,1984453.6,2732985.5,1614426.5,4767526,5277623.5,73467.17,2639325,4207699.5,4340692,275045.6,43071.027,209944.78,47071.676,38144.605,36021.965,109033.336,2332594,44373170,712150.8,2402801,7506095.5,1539442,1972441,1574849.6,1246883.4,6244091.5
