analysis_id,S1P d16:1 [M>60],S1P d17:1 [M>60],S1P d18:0 [M>60],S1P d18:1 [M>60],S1P d18:1 13C2D2 (ISTD) [M>60],S1P d18:2 [M>60],S1P d19:1 [M>60],S1P d20:1 [M>60],S1P d16:1 [M>113],S1P d17:1 [M>113],S1P d18:0 [M>113],S1P d18:1 [M>113],S1P d18:1 13C2D2 (ISTD) [M>113],S1P d18:2 [M>113],S1P d19:1 [M>113],S1P d20:1 [M>113]
006_EBLK_Extracted Blank+ISTD01,2.3424044092318293e-4,7.486508209897807e-4,0.0010747502583534276,8.772534160064301e-4,0.2,3.766218854059019e-4,5.006315306005282e-4,1.0563784590653348e-4,0.001519529159978598,0.004216158373461744,0.011342964151952916,0.0032530765115034777,0.2,0.0037667201712145533,0.0023113964686998396,NA
007_SOLV_Blank01,0.04055944055944055,0.03076923076923077,0.193006993006993,0.08671328671328671,0.2,0.0951048951048951,0.0979020979020979,0.044755244755244755,0.12450704225352112,0.09014084507042254,0.1352112676056338,0.08732394366197183,0.2,0.10140845070422536,0.08,0.08
008_LTR_LTR01,0.03984604693430267,0.009835890308440691,0.035348621728051886,0.3039824664564067,0.2,0.11235010067532654,0.005837387074357193,7.341280447604283e-4,0.05076865391826022,0.013933258342707162,0.09793775778027747,0.30873640794900636,0.2,0.11277090363704537,0.0032395950506186725,0.005219347581552307
009_NIST_NIST01,0.051098927523685854,0.009945654787668927,0.05451353820997451,0.3433174626076083,0.2,0.10414081662097821,0.008363391525994326,0.0010772856249699418,0.05733949887084633,0.018862243251962577,0.13379933326164103,0.36771695881277555,0.2,0.1162490590386063,0.004688676201742123,0.002839014947843854
010_TQCd-0_TQC-0percent,0.050958904109589045,0.046027397260273974,0.12054794520547944,0.03397260273972603,0.2,0.03780821917808219,0.04767123287671233,0.040547945205479455,0.058762886597938144,0.2195876288659794,0.37938144329896906,0.09484536082474226,0.2,0.1350515463917526,0.059793814432989686,0.41649484536082476
011_TQCd-20_TQC-20percent,0.03527454242928453,0.022488834398809002,0.08661003590507049,0.7128645240388826,0.2,0.0996759786321044,0.016008407040896754,0.0037306243979332693,0.033543505674653216,0.03600252206809584,0.1974779319041614,0.6373266078184111,0.2,0.09691046658259773,0.005800756620428752,0.015889029003783105
012_TQCd-40_TQC-40percent,0.032423174789587006,0.021579565472695246,0.08454687805832845,0.6639459776864357,0.2,0.09848306909375612,0.015091015854374635,0.003033861812487767,0.03531931464174455,0.035085669781931464,0.24380841121495328,0.6313473520249222,0.2,0.10646417445482866,0.02009345794392523,0.04766355140186916
013_TQCd-60_TQC-60percent,0.03444766945535257,0.022448352398838998,0.08217176028683626,0.7131773945705993,0.2,0.10640259518524842,0.015291104661089294,0.004172784702065904,0.041024902835756445,0.03034403339571038,0.20883834748812435,0.6701022023895207,0.2,0.10067655102922124,0.019835900388656975,0.034144234921548874
014_TQCd-80_TQC-80percent,0.03335453651766611,0.02364540565546753,0.09561672352975192,0.7244202856647198,0.2,0.11802463424507026,0.017747065286532124,0.003527438848088822,0.03558215451577802,0.031425462459194774,0.21294885745375408,0.6790206746463547,0.2,0.11889009793253535,0.002045701849836779,0.030729053318824813
015_TQCd-100_TQC-100percent,0.03233100342449688,0.021400759956841958,0.08960454097668527,0.747197072758831,0.2,0.10977623492986818,0.01609044424637613,0.00397804569123235,0.03854524066268013,0.03236937555141653,0.222233114400549,0.7102440937163024,0.2,0.1183413390844035,0.015782766395451425,0.03058523674149593
