analysis_id,qc_type,batch_id,sample_id,sample_amount,sample_amount_unit,istd_volume,valid_analysis
Longit_BLANK-01 (Eluent A),SBLK,1,,10,uL,4.5,TRUE
Longit_B-ISTD 01 Extr,PBLK,1,,10,uL,4.5,TRUE
Longit_Un-ISTD 01 Unextr,UBLK,1,,10,uL,4.5,TRUE
Longit_LTR 01,LTR,1,,10,uL,4.5,TRUE
Longit_TQC-10%,RQC,1,,10,uL,4.5,TRUE
Longit_TQC-20%,RQC,1,,10,uL,4.5,TRUE
Longit_TQC-40%,RQC,1,,10,uL,4.5,TRUE
Longit_TQC-60%,RQC,1,,10,uL,4.5,TRUE
Longit_TQC-80%,RQC,1,,10,uL,4.5,TRUE
Longit_TQC-100%,RQC,1,,10,uL,4.5,TRUE
Longit_batch1_TQC01,TQC,1,,10,uL,4.5,TRUE
Longit_batch1_TQC02,TQC,1,,10,uL,4.5,TRUE
Longit_batch1_PQC 01,BQC,1,,10,uL,4.5,TRUE
Longit_batch1_PQC 02,BQC,1,,10,uL,4.5,TRUE
Longit_batch1_1,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_2,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_3,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_4,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_5,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_TQC03,TQC,1,,10,uL,4.5,TRUE
Longit_batch1_6,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_7,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_8,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_9,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_10,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_PQC 03,BQC,1,,10,uL,4.5,TRUE
Longit_batch1_11,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_12,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_13,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_14,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_15,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_TQC04,TQC,1,,10,uL,4.5,TRUE
Longit_batch1_16,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_17,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_18,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_19,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_20,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_PQC 04,BQC,1,,10,uL,4.5,TRUE
Longit_batch1_21,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_22,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_23,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_24,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_25,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_TQC05,TQC,1,,10,uL,4.5,TRUE
Longit_batch1_26,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_27,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_28,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_29,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_30,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_PQC 05,BQC,1,,10,uL,4.5,TRUE
Longit_batch1_31,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_32,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_33,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_34,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_35,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_TQC06,TQC,1,,10,uL,4.5,TRUE
Longit_batch1_36,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_37,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_38,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_39,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_40,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_PQC 06,BQC,1,,10,uL,4.5,TRUE
Longit_batch1_41,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_42,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_43,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_44,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_45,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_TQC07,TQC,1,,10,uL,4.5,TRUE
Longit_batch1_46,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_47,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_48,SPL,1,,10,uL,4.5,TRUE
Longit_batch1_49,SPL,1,,10,uL,4.5,TRUE
