analysis_id,qc_type,sample_amount,sample_amount_unit,istd_volume,batch_id
006_EBLK_Extracted Blank+ISTD01,PBLK,20,uL,200,1
007_SOLV_Blank01,SBLK,20,uL,200,1
008_LTR_LTR01,LTR,20,uL,200,1
009_NIST_NIST01,NIST,20,uL,200,1
010_TQCd-0_TQC-0percent,RQC,20,uL,200,1
011_TQCd-20_TQC-20percent,RQC,20,uL,200,1
012_TQCd-40_TQC-40percent,RQC,20,uL,200,1
013_TQCd-60_TQC-60percent,RQC,20,uL,200,1
014_TQCd-80_TQC-80percent,RQC,20,uL,200,1
015_TQCd-100_TQC-100percent,RQC,20,uL,200,1
016_TQC_TQC01,TQC,20,uL,200,1
017_TQC_TQC02,TQC,20,uL,200,1
018_BQC_PQC01,BQC,20,uL,200,1
019_BQC_PQC02,BQC,20,uL,200,1
020_SPL_S001,SPL,20,uL,200,1
021_SPL_S002,SPL,20,uL,200,1
022_SPL_S003,SPL,20,uL,200,1
023_SPL_S004,SPL,20,uL,200,1
024_SPL_S005,SPL,20,uL,200,1
025_SPL_S006,SPL,20,uL,200,1
026_SPL_S007,SPL,20,uL,200,1
027_SPL_S008,SPL,20,uL,200,1
028_BQC_PQC03,BQC,20,uL,200,1
029_SPL_S009,SPL,20,uL,200,1
030_SPL_S010,SPL,20,uL,200,1
031_SPL_S011,SPL,20,uL,200,1
032_SPL_S012,SPL,20,uL,200,1
033_SPL_S013,SPL,20,uL,200,1
034_SPL_S014,SPL,20,uL,200,1
035_SPL_S015,SPL,20,uL,200,1
036_SPL_S016,SPL,20,uL,200,1
037_BQC_PQC04,BQC,20,uL,200,1
038_TQC_TQC03,TQC,20,uL,200,1
106_SPL_S074,SPL,20,uL,200,1
107_SPL_S075,SPL,20,uL,200,1
108_SPL_S076,SPL,20,uL,200,1
109_SPL_S077,SPL,20,uL,200,1
110_SPL_S078,SPL,20,uL,200,1
111_SPL_S079,SPL,20,uL,200,1
112_SPL_S080,SPL,20,uL,200,1
113_BQC_PQC12,BQC,20,uL,200,1
114_TQC_TQC07,TQC,20,uL,200,1
115_SPL_S081,SPL,20,uL,200,1
116_SPL_S082,SPL,20,uL,200,1
117_SPL_S083,SPL,20,uL,200,1
118_SPL_S084,SPL,20,uL,200,1
119_SPL_S085,SPL,20,uL,200,1
120_SPL_S086,SPL,20,uL,200,1
121_SPL_S087,SPL,20,uL,200,1
122_SPL_S088,SPL,20,uL,200,1
123_BQC_PQC13,BQC,20,uL,200,1
194_BQC_PQC_B 06,BQC,20,uL,200,1
195_BQC_PQC_B 07,BQC,20,uL,200,1
196_TQC_TQC_B 04,TQC,20,uL,200,1
197_TQC_TQC_B 05,TQC,20,uL,200,1
198_LTR_LTR04,LTR,20,uL,200,1
199_NIST_NIST04,NIST,20,uL,200,1
200_TQCd-100_TQC-100percent,RQC,20,uL,200,1
201_TQCd-80_TQC-80percent,RQC,20,uL,200,1
202_TQCd-60_TQC-60percent,RQC,20,uL,200,1
203_TQCd-40_TQC-40percent,RQC,20,uL,200,1
204_TQCd-20_TQC-20percent,RQC,20,uL,200,1
205_TQCd-0_TQC-0percent,RQC,20,uL,200,1
206_EBLK_Extracted Blank+ISTD03,PBLK,20,uL,200,1
207_SOLV_Blank02,SBLK,20,uL,200,1
