analysis_id,S1P d16:1 [M>60],S1P d17:1 [M>60],S1P d18:0 [M>60],S1P d18:1 [M>60],S1P d18:2 [M>60],S1P d19:1 [M>60],S1P d20:1 [M>60]
006_EBLK_Extracted Blank+ISTD01,2.3424044092318293e-4,7.486508209897807e-4,0.0010474154748347244,8.653753266735561e-4,3.766218854059019e-4,5.006315306005282e-4,1.0563784590653348e-4
007_SOLV_Blank01,0.04055944055944055,0.03076923076923077,0.19036270780096448,0.08371382097902098,0.0951048951048951,0.0979020979020979,0.044755244755244755
008_LTR_LTR01,0.03984604693430267,0.009835890308440691,0.02585859138401806,0.3004391128062579,0.11235010067532654,0.005837387074357193,7.341280447604283e-4
009_NIST_NIST01,0.051098927523685854,0.009945654787668927,0.04377284728077963,0.3400330174626076,0.10414081662097821,0.008363391525994326,0.0010772856249699418
010_TQCd-0_TQC-0percent,0.050958904109589045,0.046027397260273974,0.11951251084416263,0.03278018821917809,0.03780821917808219,0.04767123287671233,0.040547945205479455
011_TQCd-20_TQC-20percent,0.03527454242928453,0.022488834398809002,0.06419194010780062,0.709720893186794,0.0996759786321044,0.016008407040896754,0.0037306243979332693
012_TQCd-40_TQC-40percent,0.032423174789587006,0.021579565472695246,0.06367279377652332,0.6608399694118223,0.09848306909375612,0.015091015854374635,0.003033861812487767
013_TQCd-60_TQC-60percent,0.03444766945535257,0.022448352398838998,0.05975048292773895,0.7098216163223493,0.10640259518524842,0.015291104661089294,0.004172784702065904
014_TQCd-80_TQC-80percent,0.03335453651766611,0.02364540565546753,0.07285189274640577,0.7206979657375817,0.11802463424507026,0.017747065286532124,0.003527438848088822
015_TQCd-100_TQC-100percent,0.03233100342449688,0.021400759956841958,0.06611203810217849,0.7437348949734953,0.10977623492986818,0.01609044424637613,0.00397804569123235
016_TQC_TQC01,0.02964012073368934,0.02232180171813327,0.06787084302477976,0.6684520826282795,0.11217088460645461,0.016192245182261436,0.004587880195031344
017_TQC_TQC02,0.03007532443960432,0.02134948724929667,0.055621489968623594,0.6977453623672747,0.1047236591342227,0.0143297939921953,0.0033805245485071236
018_BQC_PQC01,0.03129749507458486,0.02247396566282015,0.06241401609683028,0.7173674965404822,0.11387090721456046,0.014832535885167464,0.004245238765362604
019_BQC_PQC02,0.02888175520745336,0.020110545243899495,0.06565575054187495,0.6990326970987908,0.10834882093118678,0.015582534816924527,0.004484564697931501
