istd_feature_id,istd_conc_nmolar,remarks
CE 18:1 d7 (ISTD),541.05,
Cer d18:1/12:0 (ISTD),25,
Cer d18:1/25:0 (ISTD),25,
COH d7 [161] (ISTD),248,
COH d7 [95] (ISTD),248,
DG 15:0_18:1 d7 (ISTD) [-15:0],15.99,
DG 15:0_18:1 d7 (ISTD) [-18:1],15.99,
Hex2Cer d18:1/12:0 (ISTD),25,
HexCer d18:1/12:0 (ISTD),25,
LPC 18:1 (ab ) d7 (ISTD),48.23,
LPE 18:1 d7 (ab) (ISTD),10.89,
PC 33:1 d7 (ISTD),212.45,
PE 33:1 d7 (ISTD),8.02,
PG 33:1 d7 (ISTD),38.09,
PI 33:1 d7 (ISTD),10.74,
PS 33:1 d7 (ISTD),5.41,
SM 36:2 d9 (ISTD),41.86,
TG 48:1 d7 (ISTD) [-15:0] ,70.53,
TG 48:1 d7 (ISTD) [SIM],70.53,
