analysis_id,qc_type,batch_id,Analyte-1,Analyte-2
1,SPL,1,1083.2044012989072,12998.45282
2,SPL,1,971.8429510787732,11662.11541
3,SPL,1,1177.9575650848317,14135.49078
4,SPL,1,1027.2376697027712,12326.85204
5,SPL,1,1150.3664264468061,13804.39712
6,SPL,1,963.0050711,11556.06085
7,SPL,1,1036.3508724858184,12436.21047
8,SPL,1,1340.0652826629978,16080.78339
9,SPL,1,1189.8760155994953,14278.51219
10,BQC,1,1040.4206720861891,12485.04807
11,SPL,1,1025.9124046448323,12310.94886
12,SPL,1,1074.450197460648,12893.40237
13,SPL,1,1048.331857268938,12579.98229
14,SPL,1,1195.4156638430088,14344.98797
15,SPL,1,1356.8512073683642,16282.21449
16,SPL,1,1312.5455670169422,15750.5468
17,SPL,1,1175.706980467342,14108.48377
18,SPL,1,1120.6302216678912,13447.56266
19,SPL,1,1306.2144264584035,15674.57312
20,BQC,1,1094.4508313720726,13133.40998
21,SPL,1,1151.4813154096994,13817.77578
22,SPL,1,1352.8411639984024,16234.09397
23,SPL,1,1223.544752618406,14682.53703
24,SPL,1,1101.156262719092,13213.87515
25,SPL,1,1083.8312551972201,13005.97506
26,SPL,1,1114.5171862739903,13374.20624
27,SPL,1,1232.6665981307115,14791.99918
28,SPL,1,1148.076298525985,13776.91558
29,SPL,1,1144.5727505811185,13734.87301
30,BQC,1,995.9621260546554,11951.54551
31,SPL,1,1342.8336595807566,16114.00391
32,SPL,1,1202.9883101815988,14435.85972
33,SPL,1,1303.9960009076967,15647.95201
34,SPL,1,1138.1129186023427,13657.35502
35,SPL,1,1101.720334134866,13220.64401
36,SPL,1,1081.7362312264058,12980.83477
37,SPL,1,1262.1006999863994,15145.2084
38,SPL,1,1192.2454418708328,14306.9453
39,SPL,1,1147.0788363755555,13764.94604
40,BQC,1,1017.1716601285405,12206.05992
41,SPL,1,1229.4578466569353,14753.49416
42,SPL,1,1140.5635257805934,13686.76231
43,SPL,1,1055.1619208205573,12661.94305
44,SPL,1,1327.2306495040805,15926.76779
45,SPL,1,1022.4123678492542,12268.94841
46,SPL,1,1103.5581517095666,13242.69782
47,SPL,1,1339.2299420909385,16070.75931
48,SPL,1,1348.6342527075656,16183.61103
49,SPL,1,1204.734554863933,14456.81466
50,BQC,1,1139.2741651769454,13671.28998
51,SPL,1,1201.3162649030905,14415.79518
52,SPL,1,1323.1617045864336,15877.94046
