analysis_id,qc_type,batch_id,Cer d18:1/24:0,PC 32:1,PC 40:8
Longit_BLANK-01 (Eluent A),SBLK,1,0.189016968,0.16675832017486175,0.002642768
Longit_B-ISTD 01 Extr,PBLK,1,5.2609374904065174e-5,7.114064617032985e-5,3.072987878026199e-6
Longit_Un-ISTD 01 Unextr,UBLK,1,5.873465197591431e-5,4.524580830801128e-5,5.082927161401657e-8
Longit_LTR 01,LTR,1,18.284184484821594,0.039475246,0.002298627
Longit_TQC-10%,RQC,1,0.005982142,0.047261323,0.002333795
Longit_TQC-20%,RQC,1,0.006513996,0.04876891,0.003050363
Longit_TQC-40%,RQC,1,0.005479854,0.05916769,0.003829368
Longit_TQC-60%,RQC,1,0.006714801,0.041629436155500035,0.002746568
Longit_TQC-80%,RQC,1,0.006991466,0.049629947219360135,0.004404349
Longit_TQC-100%,RQC,1,0.006919965,0.049337743,0.003922642
Longit_batch1_TQC01,TQC,1,0.007859556,0.060076005614899106,0.005128713
Longit_batch1_TQC02,TQC,1,0.008004169,0.055507617,0.004684123
Longit_batch1_PQC 01,BQC,1,0.010921086818924631,0.050697704,0.006817716
Longit_batch1_PQC 02,BQC,1,0.008998824,0.073800778,0.006340787
Longit_batch1_1,SPL,1,0.004694038,0.04526,0.003045072
Longit_batch1_2,SPL,1,0.007073931,0.04568106,0.003888896
Longit_batch1_3,SPL,1,0.006520256,0.051691481,0.005256656
Longit_batch1_4,SPL,1,0.00644322,0.048836598,0.006261901
Longit_batch1_5,SPL,1,0.008529487,0.048437675,0.007549332
Longit_batch1_TQC03,TQC,1,0.006684671,0.062846667,0.004087736
Longit_batch1_6,SPL,1,0.007585545,0.073673222,0.008340634
Longit_batch1_7,SPL,1,0.008923735,0.049397251,0.003353312
Longit_batch1_8,SPL,1,0.00816876,0.059967701665126036,0.006249269
Longit_batch1_9,SPL,1,0.008216992,0.047666873314572575,0.004053534
Longit_batch1_10,SPL,1,0.006506814,0.042345916,0.004316501
Longit_batch1_PQC 03,BQC,1,0.008375325,0.061366774,0.006459831
Longit_batch1_11,SPL,1,0.005146239,0.042953194,0.004427852
Longit_batch1_12,SPL,1,0.008684445,0.040955890416842694,0.004181959
Longit_batch1_13,SPL,1,0.005151056,0.049354415,0.004988794
Longit_batch1_14,SPL,1,0.00736153,0.061098015,0.006693406
Longit_batch1_15,SPL,1,0.004842828,0.051062104,0.004581482
Longit_batch1_TQC04,TQC,1,0.006322947,0.051561934843613655,0.004787182
Longit_batch1_16,SPL,1,0.003887731,0.04140145,0.003805801
Longit_batch1_17,SPL,1,0.005490841,0.038443816465696515,0.005006255
Longit_batch1_18,SPL,1,0.006804272,0.042169190990895944,0.005265206
Longit_batch1_19,SPL,1,0.006621255,0.073920873,0.006643514
Longit_batch1_20,SPL,1,0.006489194,0.041462144,0.002787539
Longit_batch1_PQC 04,BQC,1,0.010577192,0.069295011,0.007662218
Longit_batch1_21,SPL,1,0.00868096,0.05474436,0.004192545
Longit_batch1_22,SPL,1,0.006711045,0.052620966,0.00525355
Longit_batch1_23,SPL,1,0.009299993,0.065669665,0.008976395
Longit_batch1_24,SPL,1,0.007108965,0.050222483995602175,0.005639167
Longit_batch1_25,SPL,1,0.00696766,0.064755183,0.003515676
Longit_batch1_TQC05,TQC,1,0.006549388,0.044447755,0.004386393
Longit_batch1_26,SPL,1,0.006740659,0.035527137,0.004427996
Longit_batch1_27,SPL,1,0.009439314,0.045343147909459945,0.00612393
